iter	Passed	Remaining
411	4150	46216
412	4161	46224
413	4173	46231
414	4184	46230
415	4201	46292
416	4219	46375
417	4235	46424
418	4251	46487
419	4264	46500
420	4275	46498
421	4292	46568
422	4306	46592
423	4314	46567
424	4329	46601
425	4346	46671
426	4355	46648
427	4364	46621
428	4373	46595
429	4382	46573
430	4391	46550
431	4400	46526
432	4409	46505
433	4418	46488
434	4427	46462
435	4436	46436
436	4445	46416
437	4454	46390
438	4462	46364
439	4470	46331
440	4479	46307
441	4487	46280
442	4497	46262
443	4505	46233
444	4515	46216
445	4523	46189
446	4532	46166
447	4541	46146
448	4550	46126
449	4559	46101
450	4568	46081
451	4577	46055
452	4585	46030
453	4594	46003
454	4602	45979
455	4611	45954
456	4620	45935
457	4629	45914
458	4638	45890
459	4647	45870
460	4656	45852
461	4665	45827
462	4674	45803
463	4682	45778
464	4691	45752
465	4699	45727
466	4708	45703
467	4717	45682
468	4726	45659
469	4735	45639
470	4743	45615
471	4752	45592
472	4761	45573
473	4769	45545
474	4779	45528
475	4788	45515
476	4797	45491
477	4806	45471
478	4814	45444
479	4823	45420
480	4832	45398
481	4840	45373
482	4849	45354
483	4858	45335
484	4867	45315
485	4876	45292
486	4884	45268
487	4894	45251
488	4902	45224
489	4911	45208
490	4920	45187
491	4929	45169
492	4938	45147
493	4947	45124
494	4955	45102
495	4964	45080
496	4977	45101
497	4987	45084
498	5002	45123
499	5016	45149
500	5030	45177
501	5041	45171
502	5051	45164
503	5065	45190
504	5078	45204
505	5086	45177
506	5100	45203
507	5115	45232
508	5131	45275
509	5144	45287
510	5156	45296
511	5166	45290
512	5183	45341
513	5196	45354
514	5205	45335
515	5214	45316
516	5223	45297
517	5233	45282
518	5242	45267
519	5252	45251
520	5260	45224
521	5269	45206
522	5278	45184
523	5287	45163
524	5296	45145
525	5307	45147
526	5316	45126
527	5325	45104
528	5334	45082
529	5343	45067
530	5353	45057
531	5361	45031
532	5370	45013
533	5380	44995
534	5388	44975
535	5397	44950
536	5407	44942
537	5418	44935
538	5426	44909
539	5435	44895
540	5444	44875
541	5456	44878
542	5465	44863
543	5474	44842
544	5486	44848
545	5521	45045
546	5543	45127
547	5558	45161
548	5575	45202
549	5588	45218
550	5601	45228
551	5610	45213
552	5623	45224
553	5635	45230
554	5648	45236
555	5658	45224
556	5671	45236
557	5683	45242
558	5692	45222
559	5701	45203
560	5709	45180
561	5719	45163
562	5728	45145
563	5737	45123
564	5745	45102
565	5754	45079
566	5762	45052
567	5770	45027
568	5779	45004
569	5788	44987
570	5796	44959
571	5804	44937
572	5813	44911
573	5822	44893
574	5832	44882
575	5840	44862
576	5849	44840
577	5858	44819
578	5866	44794
579	5875	44775
580	5884	44757
581	5897	44765
582	5908	44763
583	5919	44760
584	5932	44774
585	5944	44777
586	5953	44757
587	5968	44785
588	5984	44817
589	5997	44831
590	6010	44839
591	6023	44850
592	6044	44919
593	6062	44970
594	6080	45014
595	6098	45061
596	6116	45108
597	6134	45155
598	6151	45196
599	6169	45239
600	6186	45281
601	6196	45266
602	6206	45254
603	6216	45247
604	6231	45271
605	6255	45355
606	6263	45333
607	6275	45330
608	6284	45314
609	6294	45297
610	6303	45280
611	6312	45258
612	6321	45237
613	6330	45218
614	6339	45201
